#Name	Mass	R	v	a
alpha	1	10	0	-5.37614e-06
alpha	1	9.99998	-5.37615e-05	-5.37616e-06
alpha	1	9.9999	-0.000107523	-5.37625e-06
alpha	1	9.99977	-0.000161287	-5.37639e-06
alpha	1	9.99958	-0.000215051	-5.37659e-06
alpha	1	9.99934	-0.000268819	-5.37685e-06
alpha	1	9.99905	-0.000322589	-5.37716e-06
alpha	1	9.9987	-0.000376362	-5.37754e-06
alpha	1	9.9983	-0.00043014	-5.37797e-06
alpha	1	9.99784	-0.000483922	-5.37846e-06
alpha	1	9.99734	-0.000537709	-5.379e-06
alpha	1	9.99677	-0.000591502	-5.37961e-06
alpha	1	9.99616	-0.000645301	-5.38027e-06
alpha	1	9.99549	-0.000699107	-5.38099e-06
alpha	1	9.99476	-0.000752921	-5.38177e-06
alpha	1	9.99399	-0.000806743	-5.38261e-06
alpha	1	9.99316	-0.000860574	-5.3835e-06
alpha	1	9.99227	-0.000914413	-5.38446e-06
alpha	1	9.99133	-0.000968263	-5.38547e-06
alpha	1	9.99034	-0.00102212	-5.38654e-06
alpha	1	9.98929	-0.00107599	-5.38767e-06
alpha	1	9.98819	-0.00112988	-5.38886e-06
alpha	1	9.98704	-0.00118377	-5.3901e-06
alpha	1	9.98583	-0.00123768	-5.39141e-06
alpha	1	9.98457	-0.0012916	-5.39277e-06
alpha	1	9.98325	-0.00134553	-5.39419e-06
alpha	1	9.98188	-0.00139948	-5.39567e-06
alpha	1	9.98046	-0.00145345	-5.39721e-06
alpha	1	9.97898	-0.00150743	-5.39881e-06
alpha	1	9.97745	-0.00156142	-5.40047e-06
alpha	1	9.97586	-0.00161544	-5.40219e-06
alpha	1	9.97422	-0.00166947	-5.40396e-06
alpha	1	9.97253	-0.00172352	-5.4058e-06
alpha	1	9.97078	-0.00177758	-5.4077e-06
alpha	1	9.96898	-0.00183167	-5.40965e-06
alpha	1	9.96712	-0.00188578	-5.41167e-06
alpha	1	9.96521	-0.0019399	-5.41374e-06
alpha	1	9.96325	-0.00199405	-5.41588e-06
alpha	1	9.96123	-0.00204822	-5.41807e-06
alpha	1	9.95915	-0.00210241	-5.42033e-06
alpha	1	9.95703	-0.00215663	-5.42264e-06
alpha	1	9.95485	-0.00221087	-5.42502e-06
alpha	1	9.95261	-0.00226513	-5.42746e-06
alpha	1	9.95032	-0.00231942	-5.42996e-06
alpha	1	9.94798	-0.00237373	-5.43252e-06
alpha	1	9.94558	-0.00242807	-5.43514e-06
alpha	1	9.94312	-0.00248243	-5.43782e-06
alpha	1	9.94062	-0.00253682	-5.44056e-06
alpha	1	9.93806	-0.00259124	-5.44337e-06
alpha	1	9.93544	-0.00264569	-5.44623e-06
alpha	1	9.93277	-0.00270017	-5.44916e-06
alpha	1	9.93004	-0.00275467	-5.45215e-06
alpha	1	9.92726	-0.00280921	-5.45521e-06
alpha	1	9.92443	-0.00286378	-5.45832e-06
alpha	1	9.92154	-0.00291838	-5.4615e-06
alpha	1	9.9186	-0.00297301	-5.46474e-06
alpha	1	9.9156	-0.00302767	-5.46805e-06
alpha	1	9.91255	-0.00308237	-5.47142e-06
alpha	1	9.90944	-0.0031371	-5.47485e-06
alpha	1	9.90628	-0.00319187	-5.47834e-06
alpha	1	9.90306	-0.00324667	-5.4819e-06
alpha	1	9.89979	-0.00330151	-5.48553e-06
alpha	1	9.89646	-0.00335638	-5.48922e-06
alpha	1	9.89308	-0.00341129	-5.49297e-06
alpha	1	9.88965	-0.00346624	-5.49679e-06
alpha	1	9.88616	-0.00352123	-5.50067e-06
alpha	1	9.88261	-0.00357625	-5.50462e-06
alpha	1	9.87901	-0.00363132	-5.50863e-06
alpha	1	9.87535	-0.00368643	-5.51271e-06
alpha	1	9.87164	-0.00374157	-5.51686e-06
alpha	1	9.86787	-0.00379676	-5.52107e-06
alpha	1	9.86405	-0.003852	-5.52535e-06
alpha	1	9.86017	-0.00390727	-5.5297e-06
alpha	1	9.85624	-0.00396259	-5.53411e-06
alpha	1	9.85225	-0.00401795	-5.53859e-06
alpha	1	9.84821	-0.00407336	-5.54314e-06
alpha	1	9.84411	-0.00412882	-5.54775e-06
alpha	1	9.83996	-0.00418432	-5.55244e-06
alpha	1	9.83575	-0.00423986	-5.55719e-06
